,trial_id,num_layers,num_hidden_units,lr,batchsize,boundary_batchsize,weight_change,lr_decay,alpha,patience,epochs,activation,final_boundary_loss,final_pinn_loss
0,0,3,257,0.03,256,512,0.9,0.9,0.9,3,400,selu,17.94298940896988,0.04915628884918988
0,1,4,73,0.0003,256,512,0.9,0.9,0.9,3,400,selu,6.76780354231596,0.4040492568165064
0,2,2,92,0.03,256,512,0.9,0.9,0.9,3,400,selu,1.4074103832244873,0.009942010903614573
0,3,9,104,0.0003,256,512,0.9,0.9,0.9,3,400,selu,8.131550140678883,0.1788637706777081
0,4,9,128,0.0003,256,512,0.9,0.9,0.9,3,400,selu,6.923935070633888,0.1500291699776426
0,5,4,107,0.0003,256,512,0.9,0.9,0.9,3,400,selu,3.7011320181190968,0.2137435192707926
0,6,7,79,0.003,256,512,0.9,0.9,0.9,3,400,selu,2.811084382236004,0.056812536844518036
0,7,7,244,0.0003,256,512,0.9,0.9,0.9,3,400,selu,1.1252539763227105,0.07500051945680752
0,8,8,166,0.0003,256,512,0.9,0.9,0.9,3,400,selu,4.375179227441549,0.11213947704527527
0,9,7,103,0.0003,256,512,0.9,0.9,0.9,3,400,selu,5.852937400341034,0.2676450670696795
0,10,3,42,0.003,256,512,0.9,0.9,0.9,3,400,selu,6.492631673812866,0.25047334795817733
0,11,2,38,0.003,256,512,0.9,0.9,0.9,3,400,selu,7.25111848115921,0.2002025544643402
0,12,3,238,0.03,256,512,0.9,0.9,0.9,3,400,selu,27.84317272901535,0.12320545711554587
0,13,4,62,0.0003,256,512,0.9,0.9,0.9,3,400,selu,7.651805140078068,0.3847320177592337
0,14,8,172,0.003,256,512,0.9,0.9,0.9,3,400,selu,14.23980663716793,0.10206813213881105
0,15,9,171,0.0003,256,512,0.9,0.9,0.9,3,400,selu,2.0979327484965324,0.09790629881899804
0,16,3,27,0.003,256,512,0.9,0.9,0.9,3,400,selu,7.7159740179777145,0.30822069267742336
0,17,4,147,0.03,256,512,0.9,0.9,0.9,3,400,selu,8.517675414681435,0.009524005290586501
0,18,3,280,0.03,256,512,0.9,0.9,0.9,3,400,selu,21.422916769981384,0.07365975441643968
0,19,4,147,0.03,256,512,0.9,0.9,0.9,3,400,selu,6.942555360496044,0.022079877453506924
0,20,5,123,0.03,256,512,0.9,0.9,0.9,3,400,selu,806.4743051528931,0.0
0,21,7,148,0.003,256,512,0.9,0.9,0.9,3,400,selu,5.9615844041109085,0.06589933560462669
0,22,9,53,0.03,256,512,0.9,0.9,0.9,3,400,selu,13.173976227641106,0.02762416009500157
0,23,2,36,0.0003,256,512,0.9,0.9,0.9,3,400,selu,3.117037881165743,0.35559555143117905
0,24,6,59,0.003,256,512,0.9,0.9,0.9,3,400,selu,3.856095965951681,0.07483126356964931
0,25,9,81,0.003,256,512,0.9,0.9,0.9,3,400,selu,3.76911947876215,0.04097421042388305
0,26,7,145,0.03,256,512,0.9,0.9,0.9,3,400,selu,806.4742746353149,0.0
0,27,4,45,0.03,256,512,0.9,0.9,0.9,3,400,selu,4.659006547182798,0.011453203427663539
0,28,9,58,0.0003,256,512,0.9,0.9,0.9,3,400,selu,11.860439896583557,0.3524494681041688
0,29,8,226,0.003,256,512,0.9,0.9,0.9,3,400,selu,6.4629315212368965,0.04311326131573878
0,30,2,249,0.003,256,512,0.9,0.9,0.9,3,400,selu,2.967252805829048,0.1095178546383977
0,31,4,184,0.003,256,512,0.9,0.9,0.9,3,400,selu,3.602612864226103,0.05415332451229915
0,32,6,258,0.03,256,512,0.9,0.9,0.9,3,400,selu,806.4742918014526,0.0
0,33,9,141,0.0003,256,512,0.9,0.9,0.9,3,400,selu,5.612392172217369,0.15697796433232725
0,34,6,289,0.003,256,512,0.9,0.9,0.9,3,400,selu,3.9913222044706345,0.04224152286769822
0,35,3,119,0.003,256,512,0.9,0.9,0.9,3,400,selu,3.6552199944853783,0.07750728644896299
