,trial_id,num_layers,num_hidden_units,lr,batchsize,boundary_batchsize,alpha,alpha_decay,lr_decay,patience,epochs,activation,final_boundary_loss,final_pinn_loss
0,0,7,262,0.003,1032,256,0.8259444888865839,0.998,0.95,10,300,selu,0.5228183590807021,0.05859449552372098
0,1,9,490,0.0003,1032,256,0.5564570890664735,0.998,0.95,10,300,selu,0.4216471742838621,0.01975868095178157
0,2,6,467,0.03,1032,256,0.7951592237269973,0.998,0.95,10,300,selu,205.16008186340332,0.0
0,3,5,145,0.0003,1032,256,0.9407147407037046,0.998,0.95,10,300,selu,0.27198654087260365,0.08929211180657148
0,4,5,494,0.0003,1032,256,0.21259993447109268,0.998,0.95,10,300,selu,0.4160258127376437,0.015318952035158873
0,5,9,128,0.003,1032,256,0.8400885339962234,0.998,0.95,10,300,selu,0.5361368292942643,0.03521446546074003
0,6,5,360,0.0003,1032,256,0.8908457983479787,0.998,0.95,10,300,selu,0.33729448169469833,0.0384595135692507
0,7,6,486,0.003,1032,256,0.6123333792865719,0.998,0.95,10,300,selu,0.6755885551683605,0.018652042257599533
0,8,7,228,0.0003,1032,256,0.49639039746786584,0.998,0.95,10,300,selu,0.3750871052034199,0.031740425853058696
0,9,7,190,0.003,1032,256,0.22209510349586914,0.998,0.95,10,300,selu,0.27682021725922823,0.012624844850506634
0,10,9,353,0.003,1032,256,0.8267154842221665,0.998,0.95,10,300,selu,1.0973859205842018,0.04220672161318362
0,11,8,354,0.003,1032,256,0.9980344807483614,0.998,0.95,10,300,selu,1.5624271482229233,2.104767717421055
0,12,6,400,0.003,1032,256,0.6764279601427621,0.998,0.95,10,300,selu,0.6822097692638636,0.026378673850558698
0,13,8,247,0.003,1032,256,0.2369673355176155,0.998,0.95,10,300,selu,0.33670442551374435,0.014843319775536656
0,14,9,469,0.03,1032,256,0.4332954972288441,0.998,0.95,10,300,selu,206.17118644714355,0.0
0,15,5,283,0.03,1032,256,0.6393900532543995,0.998,0.95,10,300,selu,203.5686330795288,0.0
0,16,9,230,0.003,1032,256,0.6078171814621923,0.998,0.95,10,300,selu,0.4596770601347089,0.019252011144999415
0,17,7,291,0.003,1032,256,0.6286156724121692,0.998,0.95,10,300,selu,0.6857738802209496,0.015675059345085174
