,trial_id,num_layers,num_hidden_units,lr,batchsize,boundary_batchsize,alpha,alpha_decay,lr_decay,patience,epochs,activation,final_boundary_loss,final_pinn_loss
0,0,3,171,0.0003,1032,256,0.749593098330134,0.998,0.95,10,300,selu,0.3343833480030298,0.0791455265134573
0,1,3,283,0.0003,1032,256,0.7886789303264753,0.998,0.95,10,300,selu,0.32033976074308157,0.0717784040607512
0,2,4,69,0.0003,1032,256,0.6011732961133528,0.998,0.95,10,300,selu,0.566207267343998,0.14565226202830672
0,3,4,142,0.0003,1032,256,0.8316688435367787,0.998,0.95,10,300,selu,0.2721720994450152,0.09848098224028945
0,4,7,71,0.003,1032,256,0.5495120660622191,0.998,0.95,10,300,selu,0.5247589442878962,0.05283133592456579
0,5,2,80,0.03,1032,256,0.6471724361152933,0.998,0.95,10,300,selu,0.8225494446232915,0.029221490025520325
0,6,8,92,0.003,1032,256,0.8853346867735257,0.998,0.95,10,300,selu,0.33304652431979775,0.04570142971351743
0,7,8,243,0.03,1032,256,0.8513079501062484,0.998,0.95,10,300,selu,203.82138633728027,0.0
0,8,7,91,0.0003,1032,256,0.6418333132605012,0.998,0.95,10,300,selu,0.2539836959913373,0.1088998094201088
0,9,7,231,0.0003,1032,256,0.920844505637369,0.998,0.95,10,300,selu,0.324122185818851,0.05334882135502994
0,10,2,145,0.003,1032,256,0.9348123592034321,0.998,0.95,10,300,selu,0.4759118566289544,0.2905487073585391
0,11,9,275,0.003,1032,256,0.863998572097842,0.998,0.95,10,300,selu,0.7815882517024875,0.122140197083354
0,12,6,254,0.003,1032,256,0.6179121932154278,0.998,0.95,10,300,selu,0.6579994559288025,0.019394593953620642
0,13,7,49,0.0003,1032,256,0.7230829272129764,0.998,0.95,10,300,selu,0.3779996456578374,0.24313906021416187
0,14,5,14,0.0003,1032,256,0.921309327331442,0.998,0.95,10,300,selu,1.4251018650829792,2.077960066497326
0,15,8,20,0.0003,1032,256,0.5737120679795239,0.998,0.95,10,300,selu,0.7080450113862753,0.5767022352665663
0,16,5,214,0.003,1032,256,0.6699906669130611,0.998,0.95,10,300,selu,0.45320542622357607,0.030803369591012597
