,trial_id,num_layers,num_hidden_units,batchsize,boundary_batchsize,weight_change,lr_decay,alpha,patience,epochs,lr,activation,final_boundary_loss,final_pinn_loss
0,0,9,25,512,128,1.0856495726991882,0.8647815152202858,0.3626965630020137,2,500,0.03,selu,1.207208264619112,6.633578330278397
0,1,6,152,1032,512,1.4385451826314803,0.8434019613564141,0.27470797262978974,4,500,0.03,selu,204.1707067489624,0.0
0,2,3,237,2048,512,1.0736804677676728,0.9433360495359345,0.12521768841218403,4,500,0.03,selu,102.08535766601562,0.0
0,3,3,92,512,256,1.1692767793619243,0.9077848454943251,0.2433890415906078,2,500,0.03,selu,0.4397567957639694,0.2825266430154443
0,4,3,136,2048,256,1.2749840608758092,0.9957181582372342,0.33775625809627485,3,500,0.03,selu,17.71761167049408,0.06877340376377106
0,5,8,152,1032,128,1.0095868106334445,0.837811721244121,0.24218047547673766,3,500,0.03,selu,205.38216590881348,0.0
0,6,3,48,512,256,1.2930347257203056,0.9552850611412125,0.10944272674485399,3,500,0.03,selu,0.19919486995786428,0.0586684534791857
0,7,7,129,256,256,1.2784375561251116,0.917457237538756,0.20635056652185654,4,500,0.03,selu,804.8154354095459,0.0
0,8,8,212,1032,256,1.3257235642470873,0.8860186098189089,0.37583158476618694,2,500,0.03,selu,200.92802047729492,0.0
0,9,6,39,512,256,1.3608913539745973,0.9578183393031732,0.17157059541315334,4,500,0.03,selu,0.22338269650936127,0.034896169148851186
0,10,5,290,2048,256,1.0469898556480464,0.833210914936795,0.36682055367519995,2,500,0.03,selu,0.213834835216403,0.7516537755727768
0,11,3,79,512,128,1.4426168198220866,0.9162384181161904,0.2902434203767448,3,500,0.03,selu,0.1532725498545915,0.010800526448292658
0,12,6,278,256,512,1.250439424230334,0.9520983302740351,0.18254280637962392,2,500,0.03,selu,806.4743146896362,0.0
0,13,3,29,256,64,1.2885684111067397,0.8962278555494044,0.1723618771769191,3,500,0.03,selu,0.3538813858758658,0.11796036135638133
0,14,5,77,256,64,1.3450414756804658,0.82720323866597,0.21639433537788688,4,500,0.03,selu,0.22933723498135805,0.1592140393331647
0,15,2,104,512,512,1.190813499595789,0.8073076575288858,0.23767670313059164,2,500,0.03,selu,0.7086971942335367,0.23946748347952962
0,16,3,216,512,256,1.326182639862592,0.8983451582069193,0.3597178762813952,4,500,0.03,selu,0.5082464516162872,0.01763931376626715
0,17,7,163,512,64,1.0479802016977255,0.8462813673848755,0.29355013052144585,2,500,0.03,selu,407.55229568481445,0.0
0,18,5,24,2048,64,1.489312841813384,0.8100865843236339,0.1622119928139544,4,500,0.03,selu,0.15769691299647093,0.08124412642791867
0,19,4,164,512,128,1.1045048491966885,0.9006782366091646,0.1427271978454776,4,500,0.03,selu,0.21536551788449287,0.1915571833960712
0,20,7,55,2048,64,1.0233862893241161,0.8121062982132394,0.3228327551958935,2,500,0.03,selu,0.14982812572270632,1.1894110068678856
0,21,4,289,1032,128,1.4539977274847218,0.8471548254618122,0.45397846613576476,3,500,0.03,selu,204.69933319091797,0.0
0,22,6,277,256,128,1.2481025167839066,0.8193387944844508,0.2949655073027526,4,500,0.03,selu,817.4850730895996,0.0
0,23,3,296,1032,512,1.033206059377252,0.9718820175617091,0.44496190699911675,4,500,0.03,selu,204.17070770263672,0.0
0,24,2,228,256,512,1.1576678818472501,0.840834723809529,0.2391308794586689,2,500,0.03,selu,0.24251823755912483,0.2221653894521296
0,25,3,155,512,256,1.0407947548058463,0.9675494910626791,0.3468569539698504,4,500,0.03,selu,0.1843177960254252,0.06803990271873772
0,26,4,95,1032,64,1.4498524455402908,0.9266206772387917,0.18791596527963203,3,500,0.03,selu,0.2194692138582468,0.022549200803041458
0,27,5,160,1032,512,1.3268511665558154,0.8932061566345869,0.17584182914778257,2,500,0.03,selu,204.17071342468262,0.0
0,28,9,192,1032,256,1.3569665479229698,0.8389739707847517,0.2686549127177227,4,500,0.03,selu,205.0402135848999,0.0
0,29,6,122,2048,256,1.3346241708298168,0.8640245055062301,0.16960074315921975,4,500,0.03,selu,0.08245310233905911,0.05032437201589346
0,30,5,178,512,128,1.4045690713638581,0.8655447666716684,0.11100519783815371,2,500,0.03,selu,411.17722034454346,0.0
0,31,5,217,512,512,1.133707770181715,0.8926860883380818,0.4727377210829835,2,500,0.03,selu,408.34140491485596,0.0
0,32,2,92,1032,128,1.055087320787357,0.9052955931157566,0.4745009013016649,4,500,0.03,selu,0.17254210310056806,0.10228667128831148
0,33,9,76,256,512,1.1853650669319789,0.9538104108729624,0.4834437522752506,3,500,0.03,selu,806.4742975234985,0.0
0,34,2,149,2048,128,1.2016683257508025,0.8371742328551968,0.1687101442342777,2,500,0.03,selu,0.4820745624601841,0.14390215184539557
0,35,4,151,1032,512,1.4550177131475865,0.8795763559801203,0.13380667288946113,4,500,0.03,selu,1.3505975678563118,0.06222713412716985
